Id,story,sentence,type
txt_125,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,നിനക്ക് പറ്റണില്ല,1
txt_132,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,പൂച്ചയൊന്ന് കരഞ്ഞു,0
txt_135,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,പന്നിച്ചാ നിനക്ക് സന്തോഷം വരുമ്പോൾ എന്താണു ചെയ്യുന്നതെന്ന് നീ ഈ കുഞ്ഞിക്കുറുമ്പനെ കാണിച്ചുകൊടുക്കാമോ,1
txt_131,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,പൂച്ചേ നിനക്ക് സന്തോഷം വരുമ്പോൾ നീ അതെങ്ങനെയാണ് കാണിക്കുന്നത്,1
txt_133,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,എനിക്ക് സന്തോഷമുണ്ടാകുമ്പൊ ഞാനൊന്നു കുറുങ്ങും,0
txt_124,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,എനിക്ക് പറ്റണില്ല,0
txt_138,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,സന്തോഷം വരുമ്പോൾ ഞാൻ ചെളീൽ കിടന്നുരുളും,0
txt_122,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,വാലാട്ടിക്കിളിയമ്മ സങ്കടപ്പെട്ടു,0
txt_127,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,നായേ നിനക്ക് സന്തോഷം വരുമ്പോൾ അതെങ്ങനെയാണ് കാണിക്കുന്നത്,1
txt_123,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,നിന്റെ കൊക്കിന്റെ മൂല ഇച്ചിരിയൊന്ന് തുറക്കാമോ,1
txt_134,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,ഓ നീയൊന്ന് കുറുങ്ങും അല്ലേ,1
txt_128,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,എനിക്ക് സന്തോഷം വരുമ്പോഴോ,1
txt_126,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,അവൾ കുഞ്ഞിക്കിളിയെയും എടുത്തുകൊണ്ട് നായയുടെ അടുത്തേക്ക് പറന്നുചെന്നു,0
txt_139,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,അപ്പോൾ നിന്റെ മേലിൽ ചെളി പറ്റില്ലേ,1
txt_141,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,എന്റെ കുഞ്ഞുമോൻ എന്തെടുക്കുകയാ,1
txt_143,കുഞ്ഞിക്കുറുമ്പൻ മുറുമുറുപ്പൻ,അവനൊന്ന് ചൂളം വിളിച്ചു മുകളിലേക്ക് പാറി,0
txt_224,ഞാൻ വലുതാകുമ്പോൾ,ഞങ്ങൾ അനൈദോയ്ക്ക് ഒരുപാട് ഒരുപാട് മീനുകൾ പിടിച്ചുകൊടുക്കും,0
txt_218,ഞാൻ വലുതാകുമ്പോൾ,തീർച്ചയായും സാധിക്കും,0
txt_206,ഞാൻ വലുതാകുമ്പോൾ,എന്തൊക്കെയാണെന്ന് അറിയാമോ,1
txt_214,ഞാൻ വലുതാകുമ്പോൾ,പറക്കുന്ന എഞ്ചിനുകളോ,1
txt_209,ഞാൻ വലുതാകുമ്പോൾ,എങ്ങനെയാണ് ശാസ്ത്രത്തെ ഉപയോഗപ്പെടുത്തുക,1
txt_212,ഞാൻ വലുതാകുമ്പോൾ,അത്ഭുതം തന്നെയല്ലേ,1
txt_222,ഞാൻ വലുതാകുമ്പോൾ,എന്താണ് അതിന്റെ പേര്,1
txt_207,ഞാൻ വലുതാകുമ്പോൾ,വലുതും ചെറുതുമായ സാധനങ്ങൾ,0
txt_223,ഞാൻ വലുതാകുമ്പോൾ,അവളുടെ പേര് ഗോഗോ എന്നായിരിക്കും,0
txt_225,ഞാൻ വലുതാകുമ്പോൾ,ഫയർവാൾ എന്നാൽ എന്താണ്,1
txt_220,ഞാൻ വലുതാകുമ്പോൾ,വിരുന്നിന് ഞങ്ങളെയും വിളിക്കും അല്ലേ,1
txt_210,ഞാൻ വലുതാകുമ്പോൾ,ആദ്യം ഞാനൊരു പാലമുണ്ടാക്കും,0
txt_215,ഞാൻ വലുതാകുമ്പോൾ,ആരാണ് അനൈദോ,1
txt_216,ഞാൻ വലുതാകുമ്പോൾ,ഞാൻ കടലിനടിയിൽ യാത്ര ചെയ്യുന്ന ഒരു വാഹനം ഉണ്ടാക്കും,0
txt_208,ഞാൻ വലുതാകുമ്പോൾ,അവയെല്ലാം ഉണ്ടാക്കാൻ ഞാൻ ശാസ്ത്രത്തിനെ ഉപയോഗിക്കും,0
txt_221,ഞാൻ വലുതാകുമ്പോൾ,കഴിഞ്ഞിട്ടില്ല,0
txt_077,ദേഷ്യക്കാരി അക്കു,അമ്മയെയോ,1
txt_076,ദേഷ്യക്കാരി അക്കു,നീ അമ്മയ്ക്കു വേണ്ടിയും എന്തെങ്കിലും വരയ്ക്കുമോ,1
txt_058,ദേഷ്യക്കാരി അക്കു,ഹും അതെല്ലാം ഭയങ്കര മഞ്ഞയാണ്,0
txt_068,ദേഷ്യക്കാരി അക്കു,ഇന്നു സ്കൂളിൽ എന്തെങ്കിലും പറ്റിയോ,1
txt_067,ദേഷ്യക്കാരി അക്കു,അമ്മ എന്തെങ്കിലും ചെയ്തതാണോ,1
txt_061,ദേഷ്യക്കാരി അക്കു,എനിക്കൊന്നും വേണ്ട,0
txt_073,ദേഷ്യക്കാരി അക്കു,ഞാൻ മണ്ടൻ കല്ലിൽ തട്ടി വീണപ്പോൾ ഇത് എന്റെ ലഞ്ച് ബോക്സിൽ നിന്നും പുറത്തു ചാടി,0
txt_078,ദേഷ്യക്കാരി അക്കു,പെട്ടെന്നു തന്നെ അക്കു അവളെ തട്ടി വീഴ്ത്തിയ മണ്ടൻ കല്ലിനെപ്പറ്റി എല്ലാം മറന്നു,0
txt_075,ദേഷ്യക്കാരി അക്കു,നീ ശരിക്കും നല്ലൊരു ചിത്രകാരിയാണ്,0
txt_072,ദേഷ്യക്കാരി അക്കു,കളിയാക്കി ചിരിച്ചു,1
txt_071,ദേഷ്യക്കാരി അക്കു,ഇതാണ് ബിക്കു ചീത്ത കുട്ടിയാ,0
txt_063,ദേഷ്യക്കാരി അക്കു,ഒരു ചെറിയ കടി വേണ്ടേ,1
txt_062,ദേഷ്യക്കാരി അക്കു,നിനക്ക് ഒരു വട വേണോ,1
txt_057,ദേഷ്യക്കാരി അക്കു,അക്കു അക്കു ആ ഭംഗിയുള്ള സൂര്യകാന്തി പൂക്കളെ നോക്കൂ,0
txt_060,ദേഷ്യക്കാരി അക്കു,സംഭാരം,1
txt_074,ദേഷ്യക്കാരി അക്കു,ഓഹോ വേദനിച്ചു കാണുമല്ലോ,1
txt_066,ദേഷ്യക്കാരി അക്കു,അല്ല,0
txt_056,ദേഷ്യക്കാരി അക്കു,അക്കു ദേഷ്യത്തിലായിരുന്നു,0
txt_035,ബാറ്റെവിടെപ്പോയി,അമ്മേ അമ്മേ എന്റെ ബാറ്റ് കണ്ടിരുന്നോ,1
txt_052,ബാറ്റെവിടെപ്പോയി,അച്ഛന്റെ സഹായത്തോടെ ആ തട്ടിന്റെ മുകളിൽ അവൻ എത്തി നോക്കി,0
txt_033,ബാറ്റെവിടെപ്പോയി,അമ്മേ അമ്മേ,0
txt_054,ബാറ്റെവിടെപ്പോയി,ഹോ അതിശയം തന്നെ,0
txt_046,ബാറ്റെവിടെപ്പോയി,അത് ഇനി നഷ്ടപ്പെട്ടുപോയിരിക്കുമോ,1
txt_055,ബാറ്റെവിടെപ്പോയി,മിട്ടുവിന് സന്തോഷമായി,0
txt_040,ബാറ്റെവിടെപ്പോയി,അവന്റെ അച്ഛൻ ചോദിച്ചു,0
txt_031,ബാറ്റെവിടെപ്പോയി,ശെടാ ഞാനാ ബാറ്റ് എവിടെയാണ് വച്ചത്,1
txt_038,ബാറ്റെവിടെപ്പോയി,അവൻ ഓടിച്ചെന്ന് ആ വാതിലിൽ പുറകിൽ നോക്കി പക്ഷേ അവിടെ അവന്റെ ബാറ്റ് കണ്ടില്ല,0
txt_049,ബാറ്റെവിടെപ്പോയി,പക്ഷേ ഇന്നലെയും കൂടെ ആ ബാറ്റ് കണ്ടത് അവന് ഓർമ്മ വന്നു,0
txt_032,ബാറ്റെവിടെപ്പോയി,അവൻ വീടിന്റെ ഓരോ മുലയിലും അന്വേഷിക്കുവാൻ തുടങ്ങി,0
txt_042,ബാറ്റെവിടെപ്പോയി,സ്റ്റോറിലോ,1
txt_030,ബാറ്റെവിടെപ്പോയി,അന്ന് ഒരു അവധി ദിവസമായതിനാൽ അവൻ ആദ്യം തന്നെ അന്വേഷിച്ചത് അവന്റെ ബാറ്റ് ആയിരുന്നു,0
txt_050,ബാറ്റെവിടെപ്പോയി,ഇനി രാമനോട് ചോദിച്ചാലോ,1
txt_039,ബാറ്റെവിടെപ്പോയി,ഈ കട്ടിലിന്റെ അടിയിലാണോ നീ വെച്ചത്,1
txt_047,ബാറ്റെവിടെപ്പോയി,എന്നാലും അത് എവിടെ പോയി,1
txt_044,ബാറ്റെവിടെപ്പോയി,അവൻ തിടുക്കത്തിൽ സ്റ്റോറിലേക്ക് ഓടി,0
txt_037,ബാറ്റെവിടെപ്പോയി,നീ ആ വാതിലിൽ പുറകിലാണോ വെച്ചത്,1
txt_041,ബാറ്റെവിടെപ്പോയി,ഇനിയത് സ്റ്റോറിൽ ആയിരിക്കുമോ,1
txt_048,ബാറ്റെവിടെപ്പോയി,ഇനി കളിസ്ഥലത്ത് മറന്നുവെച്ചിട്ടുണ്ടാകുമോ,1
txt_185,മീരയും അമീരയും,ഞങ്ങൾ ഒരുടീമാണ്,0
txt_176,മീരയും അമീരയും,ഇനി കഥ ഞാൻ പറയാം,0
txt_167,മീരയും അമീരയും,എന്താണ് കാരണം എന്നറിയാമോ,1
txt_175,മീരയും അമീരയും,എനിക്ക് കൂട്ടുകാരെ കിട്ടിയില്ലെങ്കിൽ എന്തുചെയ്യും,1
txt_169,മീരയും അമീരയും,അതെന്താണെന്ന് അറിയാമോ,1
txt_173,മീരയും അമീരയും,നീയൊരു വഴി കണ്ടുപിടിക്കുമല്ലോ,1
txt_182,മീരയും അമീരയും,ഞാൻ പറഞ്ഞു തരട്ടേ,1
txt_166,മീരയും അമീരയും,മീരയും ഞാനും ഒരു ടീമാണ്,0
txt_183,മീരയും അമീരയും,അമീര പറഞ്ഞു,0
txt_184,മീരയും അമീരയും,അമീര പറഞ്ഞതാണ് ശരി അല്ലേ,1
txt_181,മീരയും അമീരയും,നമുക്ക് വഴി തെറ്റിയോ,1
txt_171,മീരയും അമീരയും,അപ്പോൾത്തന്നെയാണ് എന്റെ ഒരു മുള്ള് പോയത്,0
txt_177,മീരയും അമീരയും,ഈ ലോകത്ത് ഞാൻ ഏറ്റവും ഇഷ്ടപ്പെടുന്നത് ആരെയാണ് എന്നറിയാമോ,1
txt_174,മീരയും അമീരയും,ഞാൻ ഒരു വഴി കണ്ടുപിടിച്ചു,0
txt_168,മീരയും അമീരയും,അവൾക്ക് മാത്രമേ എന്നെ കാണാൻ കഴിയൂ,0
txt_180,മീരയും അമീരയും,ഒരു വഴക്കിലും അമീര എന്നെ ഒറ്റയ്ക്കാക്കില്ല,0
txt_205,മുതുമുത്തശ്ശി,അതുകൊണ്ട് എനിക്ക് അപ്പോൾ 16 വയസ്സായിരിക്കണം,0
txt_198,മുതുമുത്തശ്ശി,ഊഹ് വിരുന്ന് ഒരുപാട് കേക്ക് ഉണ്ടായിക്കാണും,0
txt_188,മുതുമുത്തശ്ശി,അമ്മേ അവിടെ കേക്ക് ഉണ്ടാകുമോ,1
txt_194,മുതുമുത്തശ്ശി,എനിക്ക് എത്ര വയസ്സായി,1
txt_189,മുതുമുത്തശ്ശി,മുതുമുത്തശ്ശിയ്ക്ക് എത്ര വയസ്സായി അമ്മേ,1
txt_192,മുതുമുത്തശ്ശി,മുതുമുത്തശ്ശിക്ക് ഇന്ന് എത്ര വയസ്സായി,1
txt_201,മുതുമുത്തശ്ശി,മറന്നുപോയോ മുത്തശ്ശി,1
txt_186,മുതുമുത്തശ്ശി,അവർക്കു തീവണ്ടി പിടിക്കാനുണ്ടായിരുന്നു,0
txt_203,മുതുമുത്തശ്ശി,അതിൽ യാത്ര ചെയ്യുമ്പോൾ നിങ്ങൾ ഒരിക്കലും വൃത്തി കേടാവില്ല,0
txt_204,മുതുമുത്തശ്ശി,വൃത്തിയുള്ള തീവണ്ടികളോ,1
txt_199,മുതുമുത്തശ്ശി,ആരായിരുന്നു ഈ രാജാവ് മുതുമുത്തശ്ശീ,1
txt_191,മുതുമുത്തശ്ശി,ഹാപ്പി ബർത്ത്ഡേ മുതുമുത്തശ്ശി,0
txt_195,മുതുമുത്തശ്ശി,ആർക്കറിയാം,1
txt_197,മുതുമുത്തശ്ശി,കാര്യമുണ്ട്,0
txt_187,മുതുമുത്തശ്ശി,മുതുമുത്തശ്ശിയുടെ പിറന്നാൾ എന്നാണെന്ന് ആർക്കും അറിയില്ലായിരുന്നു,0
txt_202,മുതുമുത്തശ്ശി,പുട്ടയ്ക്കു സങ്കടമായി,0
txt_154,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,നന്നായി പാൽ ചേർത്തതും മധുരഗന്ധമൂറുന്നതും,0
txt_153,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,നിനക്കത് ഇഷ്ടമായോ,1
txt_160,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,എന്താണ് ദാസേറി മാമ്പഴം നിങ്ങൾക്കറിയാമോ,1
txt_145,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,മീനൂമനോജിന് ഒരു ഗ്ലാസ്സ് വെള്ളമെടുത്തുകൊണ്ടുവരൂ,0
txt_152,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,മുത്തശ്ശിയെ ആരാ ഇത് ഉണ്ടാക്കാൻ പഠിപ്പിച്ചത്,1
txt_164,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,എനിക്ക് തോന്നുന്നത് ചെടി മഴയ്ക്കുവേണ്ടി കാത്തിരിക്കുകയാണെന്നാണ്,0
txt_156,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,അത് ഇടയ്ക്കിടെ നനച്ചുകൊടുത്താല് വീടിനുള്ളില് നല്ല തണുപ്പ് കിട്ടും,0
txt_159,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,ദസേറി മാമ്പഴം,1
txt_144,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ,1
txt_149,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,വസന്തത്തിനും വര്ഷത്തിനും ഇടയിലുള്ള കാലാവസ്ഥയാണ് വേനല്,0
txt_161,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,കഴിഞ്ഞ വസന്തകാലത്ത് ഞാന് ഒരു ചെടി നട്ടത് നീ ഓര്ക്കുന്നുണ്ടോ,1
txt_165,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,അടുത്ത വേനല് ആകുമ്പോഴേക്ക് ഇതില് കായുണ്ടാകുമോ,1
txt_163,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,അതിലിപ്പോള് പതിനേഴ് ഇലകള് ആയി,0
txt_162,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,ആ ചെടി എന്റെ കൂട്ടുകാരിയാണ്,0
txt_146,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,നമ്മൾ ഊട്ടിയിലേക്ക് പോകുന്നു,1
txt_150,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,എന്തുകൊണ്ടാണ് ഒരു വര്ഷത്തില്ത്തന്നെ പല പുതുവര്ഷദിനങ്ങളും വരുന്നത്,1
txt_147,ലസ്സിയോ ഐസ്ക്രീമോ അതോ ഫലൂദയോ?,മീനൂ നമ്മള് തീവണ്ടിയിലാണ് പോകുന്നത്,0
